,creationTime,hour,nickname,productType,score,content,days
24,2024-10-12 23:09:31, 23,"""j***r""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""发货很快，联想小新酷睿U1tra已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！商品质量超棒，完全超出了我的预期！价格实惠，性价比超高。发货很快，下单没多久就收到了，不错不错！""","1,""afterDays"":0"
25,2024-10-23 13:03:33, 13,"""红***狐""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""这款笔记本真是物超所值，运行速度超乎想象，屏幕显示效果也是一流。键盘手感舒适，长时间打字也不觉得累。电池续航能力也相当出色，外出携带非常方便。总之，这是一次非常满意的购物体验。""","55,""afterDays"":0"
26,2024-09-06 21:24:55, 21,"""旭***曹""","""【AI元启】Pro14英寸 OLED高刷""",5,"""续航能力强，比较有质感，酷睿Ultra的运行速度满意，性价比比较高，有朋友需要会推荐该本本的。非常满意全五星好评谢谢卖家。""","3,""afterDays"":0"
27,2024-09-13 20:51:03, 20,"""狼***6""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""这个笔记本太赞了，酷睿Ultra 5的处理器很强大，32G+1T的存储量大管饱，又赶上政府补贴的活动，太开心了，终于买到心仪的电脑了，酷睿Ultra，牛的！""","0,""afterDays"":0"
28,2024-10-20 16:15:37, 16,"""j***p""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""酷睿Ultra 系列价格实惠，非常适合学生党。这款电脑携带轻便，处理器性能出色，续航表现也令人满意。""","4,""afterDays"":0"
29,2024-09-07 10:12:47, 10,"""乌***豆""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""非常好用，之前就买过联想小新Pro13的锐龙版两台，这次又买了一台非常的不错，而且价格优惠了很多，质感以及性能释放，包括电池续航屏幕素质都非常的不错，很喜欢而且很轻薄充电器也很便捷很好。""","7,""afterDays"":0"
30,2024-09-07 08:33:22, 08,"""往***吧""","""【AI元启】Pro14英寸 OLED高刷""",5,"""酷睿Ultra，引领AI新潮流，颜值大方，家里上大学的妹妹非常喜欢，下次还会买！！！！！会推荐给同事/朋友/家人""","3,""afterDays"":0"
31,2024-10-20 18:36:37, 18,"""处***签""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""购买酷睿Ultra电脑的体验让我非常满意，无论是产品本身的质量，还是售前咨询和售后服务，都让我感受到了商家的诚意和专业。给需要购买电脑的朋友们做一个推荐，绝对物超所值！""","2,""afterDays"":0"
32,2024-09-05 09:24:36, 09,"""j***x""","""【AI元启】Pro14英寸 OLED高刷""",5,"""京东自营的电脑，质量上面有保障，酷睿Ultra，处理器，配置很高，非常好用！""","3,""afterDays"":0"
33,2024-09-05 22:41:37, 22,"""想***M""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""开机很快！颜值非常高！性能也十分出色。虽然重量很轻，但是散热都能压的住，玩LOL轻轻松松，外观非常漂亮，噪音控制相当不错，很稳定，十分值得购买，运行流畅速度棒，画面清晰，看电影也很好，现在运行起来稳定，网游稳定。显卡效果：十分出色电脑性能：非常快！""","21,""afterDays"":0"
34,2024-09-07 12:31:12, 12,"""j***7""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""很好用 很轻便物有所值 我很喜欢画质挺好的\n外形外观：也好看""","15,""afterDays"":0"
35,2024-09-01 14:17:54, 14,"""w***g""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""运行速度：AI智能非常快。\n屏幕效果：清晰明亮，色彩屏幕丝滑。\n散热性能：效果好，安静。\n外形外观：时尚帅气，眼前一亮。\n轻薄程度：轻薄便携。\n运行速度：办公软件，一般游戏运行顺畅。""","7,""afterDays"":0"
36,2024-09-13 19:32:10, 19,"""l***2""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""我是申请的广东购物补贴，这个价格提供了相对不错的性能和便携性，性价比非常高，尤其是对于预算有限的学生和轻办公用户，酷睿Ultra处理器用起来也非常顺手，总体来说，宝子们冲吧""","7,""afterDays"":0"
37,2024-09-06 20:42:27, 20,"""姐***9""","""【AI元启】Pro14英寸 OLED高刷""",5,"""本次购物安全下车。首先商家的服务态度无可指摘，包装精美别致，让人喜欢。商品功能和宣传一致，酷睿Ultra9的性能绝对的物超所值！一次愉快的购物。""","3,""afterDays"":0"
38,2024-09-06 19:06:08, 19,"""j***7""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""物流配送超级方便，笔记本电脑使用非常方便、好看，点赞，五星好评！客服人员回答问题也很认真、很有耐心，非常有效地一次购物体验""","23,""afterDays"":0"
39,2024-09-13 23:58:35, 23,"""_***y""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""酷睿ultra5，对比了好久。趁着这次的政府补贴，果断入手。\n轻薄程度：很轻薄，女生友好，一只手就能拿起来。\n外形外观：可爱小巧。\n\n其他特色：日期很新哦。发货速度快。""","4,""afterDays"":0"
40,2024-10-31 11:23:50, 11,"""j***c""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""首先这个牌子非常值得信赖，之前就比较想入手，最近看到有活动，比之前要便宜不少，直接就购买了，运行速度还是非常不错的，送货速度也是非常快。""","3,""afterDays"":0"
41,2024-10-29 20:02:39, 20,"""j***m""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""入手联想小新14pro 酷睿Ultra版本后，感受到了轻薄本带来的极致体验，高分辨率屏幕色彩亮丽，细节丰富，高刷新率用起来十分流畅。日常办公完全无压力""","7,""afterDays"":0"
42,2024-10-01 18:44:57, 18,"""j***h""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""小孩上大学买笔记本，选了很多牌子最后选择联想。主要考虑到他的售后很完善产品也很好。正好赶上政府补贴活动，性价比很高。这款笔记本。重量很轻，方便携带配置也很高。能完全满足小孩的学习生活需要。推荐大家购买。""","1,""afterDays"":0"
43,2024-09-13 23:34:24, 23,"""拒***S""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""酷睿Ultra芯片的核显提升很明显！我整体还是很推荐大学生购买全能本的，本人计算机专业，如果不打游戏，全能本基本足够了。游戏本的话太重移动很不方便，大学课程教的东西全能本跑也足够的！""","1,""afterDays"":0"
44,2024-09-05 16:08:29, 16,"""段***8""","""【AI元启】Pro14英寸 OLED高刷""",5,"""配置杠杠的，本来还担心银色的质感没有黑色的好，现在看来是错了，银色金属要比黑色塑料好太多了，酷睿Ultra这个配置真是没的说，小巧轻便，开关机速度超级快值得拥有""","3,""afterDays"":0"
45,2024-10-07 17:12:49, 17,"""n***0""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""酷睿Ulitra5运行流畅，外观轻薄，操作也很简单，非常满意，客服服务也很满意👍""","16,""afterDays"":0"
46,2024-10-16 00:20:31, 00,"""1***g""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""给上大学的表妹买的，这款英特尔酷睿Ultra处理器的联想笔记本性价比超高，机身很薄，而且摸上去手感很好，很适合女生在大学使用！""","1,""afterDays"":0"
47,2024-10-29 22:13:04, 22,"""j***o""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""不得不夸赞这家店，物流很快，价格美丽，质量也不错""","1,""afterDays"":1"
48,2024-09-08 09:08:42, 09,"""j***i""","""【AI元启】Pro14英寸 OLED高刷""",5,"""电脑配置是酷睿Ultra，性能很好，运行速度也很快""","5,""afterDays"":0"
49,2024-09-13 21:06:30, 21,"""弘***属""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""电脑很好用，外观也十分漂亮。""","1,""afterDays"":0"
50,2024-09-14 13:37:02, 13,"""j***y""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""真不错酷睿Ultra，运行速度很快，屏幕很大，散热也很好，手感巨好，新加入酷睿Ultra处理器性能释放不错的，性价比很高，轻薄本的质感，金属质感，办公方便！""","9,""afterDays"":0"
51,2024-10-30 15:46:11, 15,"""心***印""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""电脑质量上乘，配置高且使用起来毫无卡顿。卖家的专业知识和高效服务让我印象深刻，有问必答。物流也非常给力，下单后迅速送达。强烈推荐给大家！""","8,""afterDays"":0"
52,2024-09-09 22:33:22, 22,"""蜜***0""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""太喜欢啦，运行速度非常快，开机速度也很快，是一款很轻便的本，买回来给孩子学习用的，方便以后孩子查资料写论文，功能很齐全的，看剧啥的呢很流畅""","56,""afterDays"":0"
53,2024-10-20 14:50:54, 14,"""j***c""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""商品质量超棒，完全超出了我的预期！价格实惠，性价比超高。发货很快，下单没多久就收到了，不错不错！宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢""","24,""afterDays"":0"
54,2024-10-29 21:15:01, 21,"""M***W""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手。商品质量无可挑剔，价格亲民，真是物超所值。物流顺畅，商家服务贴心，售后有保障，太棒了！""","2,""afterDays"":0"
55,2024-10-02 17:16:35, 17,"""j***i""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""很轻薄的本，性能强劲 特别是搭载了英特尔酷睿Ultra处理器，A I加成，对于性能的释放给予了强大的支持 外观大气上档次，质感不错 是一款非常好的笔记本""","13,""afterDays"":0"
56,2024-10-29 21:28:07, 21,"""j***c""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""物流很快，👍产品很快就收到了，比想象中还好，不错不错！希望能耐用，不得不夸赞这家店，酷睿 Ultra用起来真的不错，很流畅，颜值也高，商品价格美丽，质量绝佳。物流迅速，商家服务周到，售后放心。""","0,""afterDays"":0"
57,2024-09-13 14:28:43, 14,"""多***做""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""性价比很高，很实惠，使用起来感觉很好，非常完美.^◡^处理器超级强大，画图什么都没问题，超级清薄，携带方便，性价比超级高，补贴下来便宜1000多，推荐""","5,""afterDays"":0"
58,2024-10-11 08:20:31, 08,"""j***b""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！东西很喜欢，质量也很好的，这个价格能买到是真的很划算商品质量超棒，完全超出了我的预期！价格实惠，性价比超高。发货很快，下单没多久就收到了，不错不错！""","5,""afterDays"":0"
59,2024-09-13 18:07:20, 18,"""z***5""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""运行速度：酷睿Ultra5处理器，性能很强，运行速度非常快\n屏幕效果：屏幕分辨率高，观感好，\n散热性能：双风扇散热好，散热快，\n外形外观：外观好看\n轻薄程度：特别轻，轻薄好携带\n其他特色：接口齐全。值得购买，推荐这款酷睿Ultra处理器的机器""","4,""afterDays"":0"
60,2024-09-05 21:17:28, 21,"""j***o""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""运行速度：电脑运行速度很快，\n屏幕效果：屏幕显示很细腻，不愧是2.8K\n\n散热性能：暂时没有感觉到发热\n外形外观：很有美感""","1,""afterDays"":1"
61,2024-10-04 13:46:04, 13,"""j***5""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""运行速度：非常快\n屏幕效果：非常明亮\n散热性能：不烫\n外形外观：非常高颜值\n轻薄程度：非常薄很适合拿办公\n其他特色：颜值非常高很适合大学还是呢个玩\n散热能力：散热能力非常强有两个大风扇\n运行速度：运行速度非常快开机速度非常快。  总之电脑非常棒我很喜欢非常喜欢""","6,""afterDays"":0"
62,2024-10-28 09:54:16, 09,"""j***h""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""第一次在京东购买笔记本电脑，收到了本本外观还是不错的，轻薄本，太空银很漂亮，很薄，简约大气真的很好看了。开机速度快，6秒开机。音响环绕声很赞，还有护眼模式，磨砂感屏幕感觉舒适不反光，人脸识别很方便。反应速度快，系统很流畅，办公游戏妥妥的。""","4,""afterDays"":0"
63,2024-10-29 19:49:06, 19,"""宸***6""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""质量非常好，与卖家描述的完全一致，非常满意","5,""afterDays"":0"
64,2024-09-03 09:15:24, 09,"""l***t""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样""","1,""afterDays"":0"
65,2024-09-05 11:17:41, 11,"""4***w""","""【AI元启】Pro14英寸 OLED高刷""",5,"""联想小新PRO 酷睿Ultra版 性能强劲，大内存，大硬盘响应速度快，办公应对轻松，打打要求不那么高的游戏也可以。""","1,""afterDays"":0"
66,2024-09-07 09:59:21, 09,"""j***x""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""运行速度：正在试用中，\n屏幕效果：效果还可以，\n散热性能：散热性能良好，\n外形外观：外形小巧，外观简单，\n轻薄程度：比较轻薄，\n其他特色：价格实惠，\n散热能力：散热好，没有太大声音，\n运行速度：用于正常办公，运行速度够用。""","4,""afterDays"":0"
67,2024-10-30 12:45:24, 12,"""2***i""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""这款联想小新搭载的酷睿ultra5，性能更强，感觉音质也挺好，期待有更好的用户体验，是因为酷睿ultra这个处理器选择的联想小新，不错不错，性能更强的同时发热更小，加上大内存，学生用绰绰有余。""","1,""afterDays"":0"
68,2024-09-14 12:45:26, 12,"""j***q""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""我选的是酷睿Ultra5这款笔记本电脑的处理器性能强大，无论是办公还是娱乐都能轻松应对，内存和存储空间也足够大，84WH电池续航也足够长，值得入手。""","2,""afterDays"":0"
69,2024-09-05 12:57:58, 12,"""微***室""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""运行速度：还不错，就是第一次打开有点费时间\n屏幕效果：oled屏幕分辨率很高\n散热性能：第一次开机更新有点发热，后期应该还行\n外形外观：小巧轻便\n轻薄程度：很薄\n其他特色：价格合适\n散热能力：底部有一排散热排气\n运行速度：32G不会慢到哪去吧""","1,""afterDays"":0"
70,2024-09-13 12:19:18, 12,"""星***6""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""开机速度快，屏幕显示效果艳丽，外观好看，质感比旧电脑好太多了，后续用一段时间再看看。""","1,""afterDays"":0"
71,2024-09-13 10:36:45, 10,"""柠***麻""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""今年大学，做了好多攻略，选了小新 pro14 酷睿ultra 版本。\n屏幕效果：好清晰\n外形外观：好看""","2,""afterDays"":0"
72,2024-09-12 08:17:18, 08,"""李***哥""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""联想小新14pro酷睿Ultra系列反应迅速，轻巧颜值高，搭配显示效果出众的oled屏幕和杜比全景，影音效果直接拉满，办公，娱乐两不误的全能本。""","2,""afterDays"":0"
73,2024-09-06 15:34:22, 15,"""d***n""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""使了两个月才来评价，这期间使用很顺畅，系统运行平稳，没出现过问题，就是为了办公买的本儿，图片视频软件都可以跑，浅玩儿游戏也挺不错的""","54,""afterDays"":0"
74,2024-09-13 22:54:33, 22,"""睡***奶""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""不错，有着酷睿ultra5的小新pro16挺不错的，用了几天了，完全满足自己的需求。""","9,""afterDays"":0"
75,2024-09-09 23:14:12, 23,"""j***2""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""联想笔记本电脑正品行货，外观设计靓丽，价格实惠，值得购买。\n屏幕效果：好\n散热性能：好""","1,""afterDays"":0"
76,2024-09-02 23:36:32, 23,"""1***5""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""运行速度：不错，挺快的\n\n屏幕效果：屏幕看着挺舒服\n散热性能：错 \n外形外观：挺小巧，方便携带\n轻薄程度：非常的轻薄""","1,""afterDays"":0"
77,2024-09-10 22:03:24, 22,"""七***f""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""买过多次了，好用。不错啊。相信京东。❤❤❤❤❤❤❤❤❤❤❤❤""","5,""afterDays"":0"
78,2024-09-05 17:18:11, 17,"""e***l""","""【AI元启】Pro14英寸 OLED高刷""",5,"""几天使用第五天，觉得酷睿Ultra比我原来的小新air15 和ThinkPad都快多了，实事求是，我本人就是一些基本的办公，ai电脑还有待后续使用感受，""","6,""afterDays"":0"
79,2024-09-13 23:49:17, 23,"""狂***3""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""大一新生用，指定要联想小新16AI高性能酷睿Ultra，32G加1TB。非常满意，完美运行。""","1,""afterDays"":0"
80,2024-10-20 20:06:46, 20,"""j***r""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""#酷睿Ultra\n屏幕效果：简洁大气，清晰明亮\n\n散热性能：很好\n轻薄程度：很轻薄，便于携带\n运行速度：不愧是32G内存的酷睿Ultra，速度非常快\n外形外观：银灰色，时尚帅气\n其他特色：续航能力超强""","1,""afterDays"":0"
81,2024-10-26 14:27:17, 14,"""f***n""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""比较几款最后买的，联想小新2024版本的pro14酷睿UItra5处理器这款式，屏幕刷新速度快，用起来非常流畅，玩游戏也不烫，不卡机，噪音小，有屏幕保护，看久了眼睛也没什么不舒服，14寸适合女生携带轻巧更方便。有国家补贴超超级优惠，查了防伪标志是正品，满意的一次电脑购买体验，比实体店优惠多了，当天买第二天就到货了""","2,""afterDays"":0"
82,2024-10-24 21:58:42, 21,"""u***2""","""【AI元启】Pro14英寸 OLED高刷""",5,"""酷睿Ultra 9这款小新pro14感觉不错外观很喜欢，很有金属质感，反应速度也快，试验打开四十多M的cad图也很流畅！笔记本就选小新 酷睿Ultra""","1,""afterDays"":0"
83,2024-10-29 15:16:51, 15,"""j***n""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""笔记本非常轻薄小巧，运行速度很快一点不卡，采用了强大的酷睿Ultra处理器，性能非常出色。14的大小刚刚好，电池非常持久，用久了也没有超大的风扇声，非常适合日常办公～\n运行速度：流畅\n屏幕效果：清晰\n散热性能：良好\n外形外观：非常商务好看的\n轻薄程度：轻薄本，携带办公方便""","7,""afterDays"":0"
84,2024-10-14 19:48:25, 19,"""j***p""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""这款酷睿Ultra笔记本电脑性能很好，续航能力很强，运行流畅，屏幕清晰。用过几款电脑属这款酷睿Ultra最得心应手。""","2,""afterDays"":0"
85,2024-10-28 13:00:17, 13,"""j***r""","""【AI元启】Pro16英寸 2.5K高刷""",5,"""运行速度：运行速度很快⚡。\n屏幕效果：画面细腻、清晰\n轻薄程度：轻薄易携带。\n散热性能：双风扇散热快\n外形外观：简约大气。\n其他特色：键盘手感也很舒适，触控板反应灵敏，使用过程中感到十分流畅\n总结来说，酷睿Ultra9的处理器很流畅，适应现在的ai时代。""","16,""afterDays"":0"
86,2024-10-20 10:11:52, 10,"""高***9""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""联想小新Pro14","1,""afterDays"":0"
87,2024-10-16 10:34:52, 10,"""l***9""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""酷睿 Ultra 就是牛 速度快 性能强\n运行速度：秒级开机，极度快感体验，性能强劲\n\n轻薄程度：轻便小巧 办公利器 手感舒服\n最新的酷睿 Ultra 处理器 不错的选择稳定强劲""","11,""afterDays"":0"
88,2024-10-16 15:09:36, 15,"""加***茶""","""【AI元启】Pro14英寸 OLED高刷""",5,"""外观很棒，14寸电脑非常便携，很适合带去出差办公，同时，酷睿Ultra，性能强悍，那来打游戏体验也是可以的。""","1,""afterDays"":0"
89,2024-10-17 17:50:45, 17,"""F***9""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""杠杠的好，丝滑的很，外观很漂亮，去实体店看了，线上到处看了，对比了，这家最划算，还领了个国家以旧换新补贴，打了8折，优惠了一千多，比实体店优惠多了啊""","1,""afterDays"":1"
